champion_id,champion_name,position,feature_version,pick_count,win_count,surrender_loss_count,position_share,is_primary_position,created_at
77,Udyr,MIDDLE,v2_timeseries_7_15,1,1,0,0.043478,False,2026-06-05T14:02:39+00:00
77,Udyr,TOP,v2_timeseries_7_15,15,6,4,0.652174,True,2026-06-05T14:02:39+00:00
6,Urgot,JUNGLE,v2_timeseries_7_15,2,1,1,0.060606,False,2026-06-05T14:02:39+00:00
6,Urgot,TOP,v2_timeseries_7_15,31,18,6,0.939394,True,2026-06-05T14:02:39+00:00
110,Varus,BOTTOM,v2_timeseries_7_15,162,71,36,0.695279,True,2026-06-05T14:02:39+00:00
110,Varus,MIDDLE,v2_timeseries_7_15,11,6,1,0.04721,False,2026-06-05T14:02:39+00:00
110,Varus,TOP,v2_timeseries_7_15,59,35,4,0.253219,False,2026-06-05T14:02:39+00:00
110,Varus,UTILITY,v2_timeseries_7_15,1,1,0,0.004292,False,2026-06-05T14:02:39+00:00
67,Vayne,BOTTOM,v2_timeseries_7_15,39,16,8,0.304688,False,2026-06-05T14:02:39+00:00
67,Vayne,JUNGLE,v2_timeseries_7_15,1,0,1,0.007812,False,2026-06-05T14:02:39+00:00
67,Vayne,MIDDLE,v2_timeseries_7_15,2,1,1,0.015625,False,2026-06-05T14:02:39+00:00
67,Vayne,TOP,v2_timeseries_7_15,83,37,16,0.648438,True,2026-06-05T14:02:39+00:00
67,Vayne,UTILITY,v2_timeseries_7_15,3,1,0,0.023438,False,2026-06-05T14:02:39+00:00
45,Veigar,BOTTOM,v2_timeseries_7_15,3,1,1,0.045455,False,2026-06-05T14:02:39+00:00
45,Veigar,MIDDLE,v2_timeseries_7_15,47,29,7,0.712121,True,2026-06-05T14:02:39+00:00
45,Veigar,TOP,v2_timeseries_7_15,1,0,0,0.015152,False,2026-06-05T14:02:39+00:00
45,Veigar,UTILITY,v2_timeseries_7_15,15,7,4,0.227273,False,2026-06-05T14:02:39+00:00
161,Velkoz,BOTTOM,v2_timeseries_7_15,1,1,0,0.011628,False,2026-06-05T14:02:39+00:00
161,Velkoz,MIDDLE,v2_timeseries_7_15,14,8,1,0.162791,False,2026-06-05T14:02:39+00:00
161,Velkoz,TOP,v2_timeseries_7_15,7,3,1,0.081395,False,2026-06-05T14:02:39+00:00
161,Velkoz,UTILITY,v2_timeseries_7_15,64,32,5,0.744186,True,2026-06-05T14:02:39+00:00
711,Vex,BOTTOM,v2_timeseries_7_15,1,1,0,0.012821,False,2026-06-05T14:02:39+00:00
711,Vex,MIDDLE,v2_timeseries_7_15,77,44,9,0.987179,True,2026-06-05T14:02:39+00:00
254,Vi,JUNGLE,v2_timeseries_7_15,277,137,47,0.985765,True,2026-06-05T14:02:39+00:00
254,Vi,MIDDLE,v2_timeseries_7_15,1,1,0,0.003559,False,2026-06-05T14:02:39+00:00
254,Vi,TOP,v2_timeseries_7_15,3,1,1,0.010676,False,2026-06-05T14:02:39+00:00
234,Viego,BOTTOM,v2_timeseries_7_15,1,0,1,0.003155,False,2026-06-05T14:02:39+00:00
234,Viego,JUNGLE,v2_timeseries_7_15,296,138,56,0.933754,True,2026-06-05T14:02:39+00:00
234,Viego,MIDDLE,v2_timeseries_7_15,13,9,1,0.041009,False,2026-06-05T14:02:39+00:00
234,Viego,TOP,v2_timeseries_7_15,6,1,1,0.018927,False,2026-06-05T14:02:39+00:00
234,Viego,UTILITY,v2_timeseries_7_15,1,1,0,0.003155,False,2026-06-05T14:02:39+00:00
112,Viktor,BOTTOM,v2_timeseries_7_15,1,1,0,0.004065,False,2026-06-05T14:02:39+00:00
112,Viktor,MIDDLE,v2_timeseries_7_15,236,114,51,0.95935,True,2026-06-05T14:02:39+00:00
112,Viktor,TOP,v2_timeseries_7_15,9,6,0,0.036585,False,2026-06-05T14:02:39+00:00
8,Vladimir,MIDDLE,v2_timeseries_7_15,54,26,5,0.504673,True,2026-06-05T14:02:39+00:00
8,Vladimir,TOP,v2_timeseries_7_15,53,25,13,0.495327,False,2026-06-05T14:02:39+00:00
106,Volibear,JUNGLE,v2_timeseries_7_15,27,13,7,0.234783,False,2026-06-05T14:02:39+00:00
106,Volibear,MIDDLE,v2_timeseries_7_15,2,2,0,0.017391,False,2026-06-05T14:02:39+00:00
106,Volibear,TOP,v2_timeseries_7_15,86,47,11,0.747826,True,2026-06-05T14:02:39+00:00
19,Warwick,JUNGLE,v2_timeseries_7_15,38,20,5,0.603175,True,2026-06-05T14:02:39+00:00
