match_id,participant_id,team_id,position,feature_version,champion_id,champion_name,individual_position,lane,role,team_surrendered,win,queue_id,game_version,game_duration_sec,collected_at
KR_8143138138,9,200,BOTTOM,v2_timeseries_7_15,15,Sivir,BOTTOM,TOP,SOLO,False,True,420,16.6.756.931,1732,2026-06-05T14:02:39+00:00
KR_8143138138,10,200,UTILITY,v2_timeseries_7_15,16,Soraka,UTILITY,BOTTOM,SOLO,False,True,420,16.6.756.931,1732,2026-06-05T14:02:39+00:00
KR_8143066831,1,100,TOP,v2_timeseries_7_15,39,Irelia,TOP,JUNGLE,NONE,False,True,420,16.6.756.931,1369,2026-06-05T14:02:39+00:00
KR_8143066831,2,100,JUNGLE,v2_timeseries_7_15,427,Ivern,JUNGLE,JUNGLE,NONE,False,True,420,16.6.756.931,1369,2026-06-05T14:02:39+00:00
KR_8143066831,3,100,MIDDLE,v2_timeseries_7_15,103,Ahri,MIDDLE,MIDDLE,SOLO,False,True,420,16.6.756.931,1369,2026-06-05T14:02:39+00:00
KR_8143066831,4,100,BOTTOM,v2_timeseries_7_15,81,Ezreal,BOTTOM,BOTTOM,CARRY,False,True,420,16.6.756.931,1369,2026-06-05T14:02:39+00:00
KR_8143066831,5,100,UTILITY,v2_timeseries_7_15,16,Soraka,UTILITY,BOTTOM,SUPPORT,False,True,420,16.6.756.931,1369,2026-06-05T14:02:39+00:00
KR_8143066831,6,200,TOP,v2_timeseries_7_15,875,Sett,TOP,JUNGLE,NONE,False,False,420,16.6.756.931,1369,2026-06-05T14:02:39+00:00
KR_8143066831,7,200,JUNGLE,v2_timeseries_7_15,200,Belveth,JUNGLE,JUNGLE,NONE,False,False,420,16.6.756.931,1369,2026-06-05T14:02:39+00:00
KR_8143066831,8,200,MIDDLE,v2_timeseries_7_15,127,Lissandra,MIDDLE,MIDDLE,SOLO,False,False,420,16.6.756.931,1369,2026-06-05T14:02:39+00:00
KR_8143066831,9,200,BOTTOM,v2_timeseries_7_15,96,KogMaw,BOTTOM,BOTTOM,CARRY,False,False,420,16.6.756.931,1369,2026-06-05T14:02:39+00:00
KR_8143066831,10,200,UTILITY,v2_timeseries_7_15,43,Karma,UTILITY,BOTTOM,SUPPORT,False,False,420,16.6.756.931,1369,2026-06-05T14:02:39+00:00
KR_8132214182,1,100,TOP,v2_timeseries_7_15,110,Varus,TOP,TOP,SOLO,False,False,420,16.5.752.7101,1457,2026-06-05T14:02:39+00:00
KR_8132214182,2,100,JUNGLE,v2_timeseries_7_15,799,Ambessa,JUNGLE,JUNGLE,NONE,False,False,420,16.5.752.7101,1457,2026-06-05T14:02:39+00:00
KR_8132214182,3,100,MIDDLE,v2_timeseries_7_15,112,Viktor,MIDDLE,MIDDLE,SOLO,False,False,420,16.5.752.7101,1457,2026-06-05T14:02:39+00:00
KR_8132214182,4,100,BOTTOM,v2_timeseries_7_15,523,Aphelios,BOTTOM,BOTTOM,CARRY,False,False,420,16.5.752.7101,1457,2026-06-05T14:02:39+00:00
KR_8132214182,5,100,UTILITY,v2_timeseries_7_15,267,Nami,UTILITY,BOTTOM,SUPPORT,False,False,420,16.5.752.7101,1457,2026-06-05T14:02:39+00:00
KR_8132214182,6,200,TOP,v2_timeseries_7_15,54,Malphite,TOP,TOP,SOLO,False,True,420,16.5.752.7101,1457,2026-06-05T14:02:39+00:00
KR_8132214182,7,200,JUNGLE,v2_timeseries_7_15,64,LeeSin,JUNGLE,JUNGLE,NONE,False,True,420,16.5.752.7101,1457,2026-06-05T14:02:39+00:00
KR_8132214182,8,200,MIDDLE,v2_timeseries_7_15,245,Ekko,MIDDLE,MIDDLE,SOLO,False,True,420,16.5.752.7101,1457,2026-06-05T14:02:39+00:00
KR_8132214182,9,200,BOTTOM,v2_timeseries_7_15,81,Ezreal,BOTTOM,BOTTOM,SOLO,False,True,420,16.5.752.7101,1457,2026-06-05T14:02:39+00:00
KR_8132214182,10,200,UTILITY,v2_timeseries_7_15,16,Soraka,UTILITY,JUNGLE,NONE,False,True,420,16.5.752.7101,1457,2026-06-05T14:02:39+00:00
KR_8048995832,1,100,TOP,v2_timeseries_7_15,6,Urgot,TOP,JUNGLE,NONE,False,False,420,16.2.740.1491,1730,2026-06-05T14:02:39+00:00
KR_8048995832,2,100,JUNGLE,v2_timeseries_7_15,28,Evelynn,JUNGLE,JUNGLE,NONE,False,False,420,16.2.740.1491,1730,2026-06-05T14:02:39+00:00
KR_8048995832,3,100,MIDDLE,v2_timeseries_7_15,39,Irelia,MIDDLE,MIDDLE,SOLO,False,False,420,16.2.740.1491,1730,2026-06-05T14:02:39+00:00
KR_8048995832,4,100,BOTTOM,v2_timeseries_7_15,22,Ashe,BOTTOM,BOTTOM,CARRY,False,False,420,16.2.740.1491,1730,2026-06-05T14:02:39+00:00
KR_8048995832,5,100,UTILITY,v2_timeseries_7_15,43,Karma,UTILITY,BOTTOM,SUPPORT,False,False,420,16.2.740.1491,1730,2026-06-05T14:02:39+00:00
