source,source_url,collected_at,target_champion_name,target_champion_slug,position,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games
u.gg,https://u.gg/lol/champions/nautilus/counter,2026-06-06T10:26:08.315758+00:00,Nautilus,nautilus,UTILITY,3,Leona,leona,54.07,6506
u.gg,https://u.gg/lol/champions/nautilus/counter,2026-06-06T10:26:08.315758+00:00,Nautilus,nautilus,UTILITY,4,Braum,braum,53.54,6829
u.gg,https://u.gg/lol/champions/nautilus/counter,2026-06-06T10:26:08.315758+00:00,Nautilus,nautilus,UTILITY,5,Rakan,rakan,53.04,2536
u.gg,https://u.gg/lol/champions/caitlyn/counter,2026-06-06T10:26:13.804093+00:00,Caitlyn,caitlyn,BOTTOM,1,Lux,lux,57.08,1130
u.gg,https://u.gg/lol/champions/caitlyn/counter,2026-06-06T10:26:13.804093+00:00,Caitlyn,caitlyn,BOTTOM,2,Swain,swain,56.48,1365
u.gg,https://u.gg/lol/champions/caitlyn/counter,2026-06-06T10:26:13.804093+00:00,Caitlyn,caitlyn,BOTTOM,3,Seraphine,seraphine,55.52,1621
u.gg,https://u.gg/lol/champions/caitlyn/counter,2026-06-06T10:26:13.804093+00:00,Caitlyn,caitlyn,BOTTOM,4,Brand,brand,54.3,4022
u.gg,https://u.gg/lol/champions/caitlyn/counter,2026-06-06T10:26:13.804093+00:00,Caitlyn,caitlyn,BOTTOM,5,KogMaw,kogmaw,53.3,1790
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,1,Seraphine,seraphine,51.47,9672
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,2,Taric,taric,50.22,1356
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,3,Brand,brand,50.14,3157
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,4,Rell,rell,50.0,3742
u.gg,https://u.gg/lol/champions/thresh/counter,2026-06-06T10:26:17.590539+00:00,Thresh,thresh,UTILITY,5,Braum,braum,49.96,6153
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,1,Nidalee,nidalee,54.02,3036
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,2,FiddleSticks,fiddlesticks,53.23,1623
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,3,Naafiri,naafiri,52.9,4656
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,4,Rammus,rammus,52.55,1159
u.gg,https://u.gg/lol/champions/graves/counter,2026-06-06T10:26:20.154180+00:00,Graves,graves,JUNGLE,5,Sejuani,sejuani,52.49,1387
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,1,Karthus,karthus,58.19,897
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,2,Brand,brand,54.33,3131
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,3,Yasuo,yasuo,52.64,910
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,4,Swain,swain,52.59,1253
u.gg,https://u.gg/lol/champions/ashe/counter,2026-06-06T10:26:22.474120+00:00,Ashe,ashe,BOTTOM,5,Seraphine,seraphine,52.3,1455
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,1,Volibear,volibear,53.21,389
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,2,Belveth,belveth,53.09,761
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,3,Briar,briar,52.86,1589
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,4,Aatrox,aatrox,52.8,375
u.gg,https://u.gg/lol/champions/xinzhao/counter,2026-06-06T10:26:26.324230+00:00,XinZhao,xinzhao,JUNGLE,5,Shyvana,shyvana,52.4,1416
u.gg,https://u.gg/lol/champions/viego/counter,2026-06-06T10:26:29.094127+00:00,Viego,viego,JUNGLE,1,Darius,darius,57.41,580
u.gg,https://u.gg/lol/champions/viego/counter,2026-06-06T10:26:29.094127+00:00,Viego,viego,JUNGLE,2,Zac,zac,54.65,1215
u.gg,https://u.gg/lol/champions/viego/counter,2026-06-06T10:26:29.094127+00:00,Viego,viego,JUNGLE,3,Udyr,udyr,54.13,1332
u.gg,https://u.gg/lol/champions/viego/counter,2026-06-06T10:26:29.094127+00:00,Viego,viego,JUNGLE,4,Evelynn,evelynn,53.95,1631
u.gg,https://u.gg/lol/champions/viego/counter,2026-06-06T10:26:29.094127+00:00,Viego,viego,JUNGLE,5,Shaco,shaco,53.88,2576
u.gg,https://u.gg/lol/champions/vi/counter,2026-06-06T10:26:31.844761+00:00,Vi,vi,JUNGLE,1,Aatrox,aatrox,53.82,327
u.gg,https://u.gg/lol/champions/vi/counter,2026-06-06T10:26:31.844761+00:00,Vi,vi,JUNGLE,2,Kindred,kindred,53.53,751
u.gg,https://u.gg/lol/champions/vi/counter,2026-06-06T10:26:31.844761+00:00,Vi,vi,JUNGLE,3,MonkeyKing,wukong,52.72,1671
u.gg,https://u.gg/lol/champions/vi/counter,2026-06-06T10:26:31.844761+00:00,Vi,vi,JUNGLE,4,Belveth,belveth,52.65,566
u.gg,https://u.gg/lol/champions/vi/counter,2026-06-06T10:26:31.844761+00:00,Vi,vi,JUNGLE,5,Shaco,shaco,52.3,1283
u.gg,https://u.gg/lol/champions/yunara/counter,2026-06-06T10:26:34.440400+00:00,Yunara,yunara,BOTTOM,1,Seraphine,seraphine,58.73,458
u.gg,https://u.gg/lol/champions/yunara/counter,2026-06-06T10:26:34.440400+00:00,Yunara,yunara,BOTTOM,2,Ziggs,ziggs,57.8,455
u.gg,https://u.gg/lol/champions/yunara/counter,2026-06-06T10:26:34.440400+00:00,Yunara,yunara,BOTTOM,3,Karthus,karthus,55.73,314
u.gg,https://u.gg/lol/champions/yunara/counter,2026-06-06T10:26:34.440400+00:00,Yunara,yunara,BOTTOM,4,Brand,brand,55.41,998
u.gg,https://u.gg/lol/champions/yunara/counter,2026-06-06T10:26:34.440400+00:00,Yunara,yunara,BOTTOM,5,Jinx,jinx,54.37,4515
u.gg,https://u.gg/lol/champions/aphelios/counter,2026-06-06T10:26:38.629094+00:00,Aphelios,aphelios,BOTTOM,1,Nilah,nilah,57.3,356
u.gg,https://u.gg/lol/champions/aphelios/counter,2026-06-06T10:26:38.629094+00:00,Aphelios,aphelios,BOTTOM,2,Ziggs,ziggs,55.98,468
u.gg,https://u.gg/lol/champions/aphelios/counter,2026-06-06T10:26:38.629094+00:00,Aphelios,aphelios,BOTTOM,3,Swain,swain,55.23,373
u.gg,https://u.gg/lol/champions/aphelios/counter,2026-06-06T10:26:38.629094+00:00,Aphelios,aphelios,BOTTOM,4,Brand,brand,54.57,909
u.gg,https://u.gg/lol/champions/aphelios/counter,2026-06-06T10:26:38.629094+00:00,Aphelios,aphelios,BOTTOM,5,Seraphine,seraphine,53.52,355
u.gg,https://u.gg/lol/champions/sylas/counter,2026-06-06T10:26:42.195582+00:00,Sylas,sylas,MIDDLE,1,Riven,riven,59.05,503
u.gg,https://u.gg/lol/champions/sylas/counter,2026-06-06T10:26:42.195582+00:00,Sylas,sylas,MIDDLE,2,Galio,galio,56.31,1964
u.gg,https://u.gg/lol/champions/sylas/counter,2026-06-06T10:26:42.195582+00:00,Sylas,sylas,MIDDLE,3,Vex,vex,56.24,1122
u.gg,https://u.gg/lol/champions/sylas/counter,2026-06-06T10:26:42.195582+00:00,Sylas,sylas,MIDDLE,4,Naafiri,naafiri,56.1,991
u.gg,https://u.gg/lol/champions/sylas/counter,2026-06-06T10:26:42.195582+00:00,Sylas,sylas,MIDDLE,5,Taliyah,taliyah,55.43,644
u.gg,https://u.gg/lol/champions/twistedfate/counter,2026-06-06T10:26:44.574307+00:00,TwistedFate,twistedfate,MIDDLE,1,Brand,brand,55.46,449
u.gg,https://u.gg/lol/champions/twistedfate/counter,2026-06-06T10:26:44.574307+00:00,TwistedFate,twistedfate,MIDDLE,2,Riven,riven,54.9,337
