match_id,team_id,feature_version,team_surrendered,queue_id,game_version,game_duration_sec,collected_at,gold_diff_15,kill_diff_15,tower_diff_15,dragon_diff_15,rift_herald_diff_15,cs_diff_15,avg_level_diff_15,first_blood,first_tower,ward_placed_diff_15,ward_kill_diff_15
KR_8083967258,100,v1_15min,False,420,16.3.745.7600,2083,2026-05-14T19:59:29+00:00,-1642,-5,0,0,0,-24,0.0,1,0,-1,7
KR_8083967258,200,v1_15min,False,420,16.3.745.7600,2083,2026-05-14T19:59:29+00:00,1642,5,0,0,0,24,0.0,-1,0,1,-7
KR_8083929556,100,v1_15min,False,420,16.3.745.7600,1525,2026-05-14T19:59:29+00:00,1079,3,1,1,0,46,0.2,1,1,7,-5
KR_8083929556,200,v1_15min,False,420,16.3.745.7600,1525,2026-05-14T19:59:29+00:00,-1079,-3,-1,-1,0,-46,-0.2,-1,-1,-7,5
KR_8083899781,100,v1_15min,False,420,16.3.745.7600,1481,2026-05-14T19:59:29+00:00,4382,10,1,1,0,38,0.6,1,1,9,3
KR_8083899781,200,v1_15min,True,420,16.3.745.7600,1481,2026-05-14T19:59:29+00:00,-4382,-10,-1,-1,0,-38,-0.6,-1,-1,-9,-3
KR_8083841267,100,v1_15min,False,420,16.3.745.7600,2299,2026-05-14T19:59:29+00:00,40,3,0,0,0,29,0.2,-1,0,0,6
KR_8083841267,200,v1_15min,False,420,16.3.745.7600,2299,2026-05-14T19:59:29+00:00,-40,-3,0,0,0,-29,-0.2,1,0,0,-6
KR_8083825271,100,v1_15min,True,420,16.3.745.7600,1104,2026-05-14T19:59:29+00:00,-7065,-13,-2,-2,0,-38,-1.0,-1,-1,-10,-1
KR_8083825271,200,v1_15min,False,420,16.3.745.7600,1104,2026-05-14T19:59:29+00:00,7065,13,2,2,0,38,1.0,1,1,10,1
KR_8083801720,100,v1_15min,False,420,16.3.745.7600,1739,2026-05-14T19:59:29+00:00,2243,3,1,-1,0,-10,0.2,1,1,4,4
KR_8083801720,200,v1_15min,False,420,16.3.745.7600,1739,2026-05-14T19:59:29+00:00,-2243,-3,-1,1,0,10,-0.2,-1,-1,-4,-4
KR_8216150433,100,v1_15min,True,420,16.10.775.1511,930,2026-05-14T19:59:29+00:00,-7702,-14,0,-2,0,-87,-1.0,-1,0,1,2
KR_8216150433,200,v1_15min,False,420,16.10.775.1511,930,2026-05-14T19:59:29+00:00,7702,14,0,2,0,87,1.0,1,0,-1,-2
KR_8216087116,100,v1_15min,False,420,16.10.775.1511,2128,2026-05-14T19:59:29+00:00,-1388,-6,0,-2,0,-44,-0.4,-1,0,0,-1
