source,source_patch,source_url,collected_at,target_champion_name,target_champion_slug,position,page_role_hint,section,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games,gd15,target_win_rate,target_delta,target_delta_normalized,target_pick_rate,min_counter_games_used
lolalytics,16.9,https://lolalytics.com/lol/amumu/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Amumu,amumu,JUNGLE,jungle,win_rate_counter,3,FiddleSticks,fiddlesticks,52.37,695,,47.63,-0.1,-2.11,1.35,257
lolalytics,16.9,https://lolalytics.com/lol/amumu/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Amumu,amumu,JUNGLE,jungle,win_rate_counter,4,Shyvana,shyvana,51.62,1972,,48.38,1.78,-0.23,3.82,257
lolalytics,16.9,https://lolalytics.com/lol/amumu/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Amumu,amumu,JUNGLE,jungle,win_rate_counter,5,Sylas,sylas,51.19,1764,,48.81,-0.13,-2.14,3.42,257
lolalytics,16.9,https://lolalytics.com/lol/anivia/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Anivia,anivia,MIDDLE,middle,win_rate_counter,1,Xerath,xerath,51.81,3573,,48.19,1.26,-1.45,3.99,447
lolalytics,16.9,https://lolalytics.com/lol/anivia/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Anivia,anivia,MIDDLE,middle,win_rate_counter,2,Ziggs,ziggs,51.07,560,,48.93,0.22,-2.49,0.63,447
lolalytics,16.9,https://lolalytics.com/lol/anivia/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Anivia,anivia,MIDDLE,middle,win_rate_counter,3,Hwei,hwei,50.71,2108,,49.29,-0.07,-2.78,2.35,447
lolalytics,16.9,https://lolalytics.com/lol/anivia/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Anivia,anivia,MIDDLE,middle,win_rate_counter,4,Taliyah,taliyah,50.67,675,,49.33,-0.27,-2.98,0.75,447
lolalytics,16.9,https://lolalytics.com/lol/anivia/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Anivia,anivia,MIDDLE,middle,win_rate_counter,5,Ahri,ahri,50.61,4669,,49.39,1.08,-1.63,5.22,447
lolalytics,16.9,https://lolalytics.com/lol/annie/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Annie,annie,MIDDLE,middle,win_rate_counter,1,Qiyana,qiyana,54.11,1120,,45.89,-2.63,-5.83,1.39,401
lolalytics,16.9,https://lolalytics.com/lol/annie/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Annie,annie,MIDDLE,middle,win_rate_counter,2,Naafiri,naafiri,53.72,1329,,46.28,0.32,-2.87,1.65,401
lolalytics,16.9,https://lolalytics.com/lol/annie/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Annie,annie,MIDDLE,middle,win_rate_counter,3,Syndra,syndra,52.39,2327,,47.61,-2.05,-5.25,2.9,401
lolalytics,16.9,https://lolalytics.com/lol/annie/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Annie,annie,MIDDLE,middle,win_rate_counter,4,Velkoz,velkoz,51.22,410,,48.78,0.24,-2.96,0.51,401
lolalytics,16.9,https://lolalytics.com/lol/annie/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Annie,annie,MIDDLE,middle,win_rate_counter,5,Zed,zed,50.97,3812,,49.03,1.85,-1.35,4.74,401
lolalytics,16.9,https://lolalytics.com/lol/aphelios/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aphelios,aphelios,BOTTOM,bottom,win_rate_counter,1,Nilah,nilah,56.67,690,,43.33,-3.99,-4.79,0.6,573
lolalytics,16.9,https://lolalytics.com/lol/aphelios/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aphelios,aphelios,BOTTOM,bottom,win_rate_counter,2,Ziggs,ziggs,56.22,820,,43.78,-3.38,-4.18,0.71,573
lolalytics,16.9,https://lolalytics.com/lol/aphelios/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aphelios,aphelios,BOTTOM,bottom,win_rate_counter,3,Brand,brand,54.61,1410,,45.39,-0.15,-0.95,1.23,573
lolalytics,16.9,https://lolalytics.com/lol/aphelios/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aphelios,aphelios,BOTTOM,bottom,win_rate_counter,4,Ashe,ashe,53.68,9551,,46.32,-0.77,-1.57,8.32,573
lolalytics,16.9,https://lolalytics.com/lol/aphelios/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aphelios,aphelios,BOTTOM,bottom,win_rate_counter,5,Smolder,smolder,53.0,12649,,47.0,2.15,1.35,11.02,573
lolalytics,16.9,https://lolalytics.com/lol/ashe/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ashe,ashe,BOTTOM,bottom,win_rate_counter,1,Swain,swain,51.69,2809,,48.31,1.44,-2.38,0.69,2047
lolalytics,16.9,https://lolalytics.com/lol/ashe/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ashe,ashe,BOTTOM,bottom,win_rate_counter,2,Smolder,smolder,51.05,44369,,48.95,4.1,0.29,10.84,2047
lolalytics,16.9,https://lolalytics.com/lol/ashe/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ashe,ashe,BOTTOM,bottom,win_rate_counter,3,Brand,brand,50.97,5329,,49.03,3.49,-0.32,1.3,2047
lolalytics,16.9,https://lolalytics.com/lol/ashe/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ashe,ashe,BOTTOM,bottom,win_rate_counter,4,Ziggs,ziggs,50.79,3782,,49.21,2.05,-1.77,0.92,2047
lolalytics,16.9,https://lolalytics.com/lol/ashe/build/?lane=bottom&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ashe,ashe,BOTTOM,bottom,win_rate_counter,5,Twitch,twitch,49.25,9225,,50.75,2.01,-1.81,2.25,2047
lolalytics,16.9,https://lolalytics.com/lol/aurelionsol/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,AurelionSol,aurelionsol,MIDDLE,middle,win_rate_counter,1,Naafiri,naafiri,59.12,1135,,40.88,-5.08,-6.93,1.74,325
lolalytics,16.9,https://lolalytics.com/lol/aurelionsol/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,AurelionSol,aurelionsol,MIDDLE,middle,win_rate_counter,2,Yone,yone,56.11,2176,,43.89,-6.11,-7.96,3.34,325
lolalytics,16.9,https://lolalytics.com/lol/aurelionsol/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,AurelionSol,aurelionsol,MIDDLE,middle,win_rate_counter,3,XinZhao,xinzhao,55.9,356,,44.1,-4.64,-6.49,0.55,325
lolalytics,16.9,https://lolalytics.com/lol/aurelionsol/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,AurelionSol,aurelionsol,MIDDLE,middle,win_rate_counter,4,Zed,zed,54.86,2386,,45.14,-2.04,-3.89,3.66,325
lolalytics,16.9,https://lolalytics.com/lol/aurelionsol/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,AurelionSol,aurelionsol,MIDDLE,middle,win_rate_counter,5,Ekko,ekko,52.76,1014,,47.24,-1.37,-3.22,1.56,325
lolalytics,16.9,https://lolalytics.com/lol/aurora/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aurora,aurora,MIDDLE,middle,win_rate_counter,1,Naafiri,naafiri,53.51,1665,,46.49,0.53,-0.42,1.8,462
lolalytics,16.9,https://lolalytics.com/lol/aurora/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aurora,aurora,MIDDLE,middle,win_rate_counter,2,Zed,zed,53.48,3949,,46.52,-0.66,-1.61,4.27,462
lolalytics,16.9,https://lolalytics.com/lol/aurora/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aurora,aurora,MIDDLE,middle,win_rate_counter,3,Katarina,katarina,53.05,2837,,46.95,-1.9,-2.85,3.06,462
lolalytics,16.9,https://lolalytics.com/lol/aurora/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aurora,aurora,MIDDLE,middle,win_rate_counter,4,Vex,vex,52.09,1244,,47.91,0.41,-0.54,1.34,462
lolalytics,16.9,https://lolalytics.com/lol/aurora/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aurora,aurora,MIDDLE,middle,win_rate_counter,5,Veigar,veigar,52.08,1540,,47.92,-0.38,-1.33,1.66,462
lolalytics,16.9,https://lolalytics.com/lol/azir/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Azir,azir,MIDDLE,middle,win_rate_counter,1,Ekko,ekko,59.55,759,,40.45,-8.16,-5.95,1.46,259
lolalytics,16.9,https://lolalytics.com/lol/azir/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Azir,azir,MIDDLE,middle,win_rate_counter,2,Xerath,xerath,57.91,1877,,42.09,-4.84,-2.64,3.61,259
lolalytics,16.9,https://lolalytics.com/lol/azir/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Azir,azir,MIDDLE,middle,win_rate_counter,3,Cassiopeia,cassiopeia,57.18,348,,42.82,-6.8,-4.58,0.67,259
lolalytics,16.9,https://lolalytics.com/lol/azir/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Azir,azir,MIDDLE,middle,win_rate_counter,4,Kassadin,kassadin,56.81,551,,43.19,-7.0,-4.78,1.06,259
lolalytics,16.9,https://lolalytics.com/lol/azir/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Azir,azir,MIDDLE,middle,win_rate_counter,5,Velkoz,velkoz,56.74,282,,43.26,-5.28,-3.07,0.54,259
lolalytics,16.9,https://lolalytics.com/lol/bard/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Bard,bard,UTILITY,support,win_rate_counter,1,Elise,elise,51.84,1437,,48.16,-0.7,-2.76,0.8,898
lolalytics,16.9,https://lolalytics.com/lol/bard/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Bard,bard,UTILITY,support,win_rate_counter,2,Poppy,poppy,50.93,1502,,49.07,1.32,-0.74,0.84,898
lolalytics,16.9,https://lolalytics.com/lol/bard/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Bard,bard,UTILITY,support,win_rate_counter,3,Sona,sona,50.84,3710,,49.16,1.98,-0.08,2.07,898
lolalytics,16.9,https://lolalytics.com/lol/bard/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Bard,bard,UTILITY,support,win_rate_counter,4,Rell,rell,50.8,3008,,49.2,1.45,-0.61,1.67,898
lolalytics,16.9,https://lolalytics.com/lol/bard/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Bard,bard,UTILITY,support,win_rate_counter,5,Seraphine,seraphine,50.65,10370,,49.35,2.78,0.72,5.77,898
lolalytics,16.9,https://lolalytics.com/lol/belveth/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Belveth,belveth,JUNGLE,jungle,win_rate_counter,1,Rammus,rammus,52.46,488,,47.54,0.58,-2.79,0.99,245
lolalytics,16.9,https://lolalytics.com/lol/belveth/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Belveth,belveth,JUNGLE,jungle,win_rate_counter,2,RekSai,reksai,52.29,656,,47.71,0.68,-2.69,1.34,245
lolalytics,16.9,https://lolalytics.com/lol/belveth/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Belveth,belveth,JUNGLE,jungle,win_rate_counter,3,Ekko,ekko,51.21,994,,48.79,-0.74,-4.11,2.02,245
lolalytics,16.9,https://lolalytics.com/lol/belveth/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Belveth,belveth,JUNGLE,jungle,win_rate_counter,4,Brand,brand,50.65,306,,49.35,-0.6,-3.97,0.62,245
lolalytics,16.9,https://lolalytics.com/lol/belveth/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Belveth,belveth,JUNGLE,jungle,win_rate_counter,5,FiddleSticks,fiddlesticks,50.54,649,,49.46,1.73,-1.64,1.32,245
lolalytics,16.9,https://lolalytics.com/lol/blitzcrank/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Blitzcrank,blitzcrank,UTILITY,support,win_rate_counter,1,Zilean,zilean,54.75,1748,,45.25,-1.63,-3.94,1.37,638
lolalytics,16.9,https://lolalytics.com/lol/blitzcrank/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Blitzcrank,blitzcrank,UTILITY,support,win_rate_counter,2,Taric,taric,53.57,687,,46.43,-1.16,-3.47,0.54,638
lolalytics,16.9,https://lolalytics.com/lol/blitzcrank/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Blitzcrank,blitzcrank,UTILITY,support,win_rate_counter,3,Rakan,rakan,52.91,1752,,47.09,-2.14,-4.45,1.37,638
lolalytics,16.9,https://lolalytics.com/lol/blitzcrank/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Blitzcrank,blitzcrank,UTILITY,support,win_rate_counter,4,Braum,braum,52.84,4701,,47.16,-1.47,-3.78,3.68,638
lolalytics,16.9,https://lolalytics.com/lol/blitzcrank/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Blitzcrank,blitzcrank,UTILITY,support,win_rate_counter,5,Leona,leona,52.66,4335,,47.34,-0.73,-3.04,3.4,638
lolalytics,16.9,https://lolalytics.com/lol/brand/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Brand,brand,UTILITY,support,win_rate_counter,1,Zilean,zilean,53.14,1641,,46.86,-0.02,-2.61,1.33,617
lolalytics,16.9,https://lolalytics.com/lol/brand/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Brand,brand,UTILITY,support,win_rate_counter,2,Karma,karma,52.15,6313,,47.85,-1.68,-4.27,5.12,617
lolalytics,16.9,https://lolalytics.com/lol/brand/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Brand,brand,UTILITY,support,win_rate_counter,3,Shaco,shaco,52.12,800,,47.88,-2.21,-4.8,0.65,617
lolalytics,16.9,https://lolalytics.com/lol/brand/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Brand,brand,UTILITY,support,win_rate_counter,4,Janna,janna,51.7,1967,,48.3,0.51,-2.08,1.59,617
lolalytics,16.9,https://lolalytics.com/lol/brand/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Brand,brand,UTILITY,support,win_rate_counter,5,Sona,sona,51.69,2242,,48.31,1.13,-1.46,1.82,617
lolalytics,16.9,https://lolalytics.com/lol/braum/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Braum,braum,UTILITY,support,win_rate_counter,1,Senna,senna,53.78,4379,,46.22,-1.63,-3.91,2.87,762
lolalytics,16.9,https://lolalytics.com/lol/braum/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Braum,braum,UTILITY,support,win_rate_counter,2,Zilean,zilean,53.6,1849,,46.4,-0.48,-2.76,1.21,762
lolalytics,16.9,https://lolalytics.com/lol/braum/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Braum,braum,UTILITY,support,win_rate_counter,3,Rell,rell,52.77,3309,,47.23,-0.52,-2.8,2.17,762
lolalytics,16.9,https://lolalytics.com/lol/braum/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Braum,braum,UTILITY,support,win_rate_counter,4,Janna,janna,52.39,2529,,47.61,-0.18,-2.46,1.66,762
lolalytics,16.9,https://lolalytics.com/lol/braum/build/?lane=support&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Braum,braum,UTILITY,support,win_rate_counter,5,Soraka,soraka,52.14,3224,,47.86,0.21,-2.07,2.11,762
lolalytics,16.9,https://lolalytics.com/lol/briar/build/?lane=jungle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Briar,briar,JUNGLE,jungle,win_rate_counter,1,RekSai,reksai,53.12,1393,,46.88,-0.15,-3.33,1.11,630
