match_id,team_id,feature_version,team_surrendered,queue_id,game_version,game_duration_sec,collected_at,gold_diff_15,kill_diff_15,tower_diff_15,dragon_diff_15,rift_herald_diff_15,cs_diff_15,avg_level_diff_15,first_blood,first_tower,ward_placed_diff_15,ward_kill_diff_15
KR_8198163835,100,v1_15min_16_9_only,False,420,16.9.772.1032,2037,2026-06-07T21:17:16+00:00,178,-2,1,-1,0,20,0.2,-1,1,4,-4
KR_8198163835,200,v1_15min_16_9_only,False,420,16.9.772.1032,2037,2026-06-07T21:17:16+00:00,-178,2,-1,1,0,-20,-0.2,1,-1,-4,4
KR_8198107416,100,v1_15min_16_9_only,False,420,16.9.772.1032,1976,2026-06-07T21:17:16+00:00,-108,2,0,-2,0,-97,-0.2,-1,0,1,1
KR_8198107416,200,v1_15min_16_9_only,False,420,16.9.772.1032,1976,2026-06-07T21:17:16+00:00,108,-2,0,2,0,97,0.2,1,0,-1,-1
KR_8197478079,100,v1_15min_16_9_only,False,420,16.9.772.1032,1623,2026-06-07T21:17:16+00:00,884,2,1,-2,0,42,0.2,-1,1,2,-4
KR_8197478079,200,v1_15min_16_9_only,False,420,16.9.772.1032,1623,2026-06-07T21:17:16+00:00,-884,-2,-1,2,0,-42,-0.2,1,-1,-2,4
KR_8197439980,100,v1_15min_16_9_only,False,420,16.9.772.1032,1586,2026-06-07T21:17:16+00:00,2202,8,2,2,0,15,-0.2,-1,1,-10,8
KR_8197439980,200,v1_15min_16_9_only,False,420,16.9.772.1032,1586,2026-06-07T21:17:16+00:00,-2202,-8,-2,-2,0,-15,0.2,1,-1,10,-8
KR_8197418558,100,v1_15min_16_9_only,True,420,16.9.772.1032,1519,2026-06-07T21:17:16+00:00,-1858,-2,1,0,0,-55,-0.8,1,1,4,-5
KR_8197418558,200,v1_15min_16_9_only,False,420,16.9.772.1032,1519,2026-06-07T21:17:16+00:00,1858,2,-1,0,0,55,0.8,-1,-1,-4,5
KR_8197329021,100,v1_15min_16_9_only,False,420,16.9.772.1032,2214,2026-06-07T21:17:16+00:00,3804,5,4,1,0,74,0.8,-1,1,8,-1
KR_8197329021,200,v1_15min_16_9_only,False,420,16.9.772.1032,2214,2026-06-07T21:17:16+00:00,-3804,-5,-4,-1,0,-74,-0.8,1,-1,-8,1
KR_8197250463,100,v1_15min_16_9_only,False,420,16.9.772.1032,1873,2026-06-07T21:17:16+00:00,2885,5,1,-1,0,25,0.6,-1,1,-1,-3
KR_8197250463,200,v1_15min_16_9_only,False,420,16.9.772.1032,1873,2026-06-07T21:17:16+00:00,-2885,-5,-1,1,0,-25,-0.6,1,-1,1,3
KR_8197192049,100,v1_15min_16_9_only,False,420,16.9.772.1032,1558,2026-06-07T21:17:16+00:00,198,2,0,2,0,2,-0.2,-1,0,8,6
KR_8197192049,200,v1_15min_16_9_only,False,420,16.9.772.1032,1558,2026-06-07T21:17:16+00:00,-198,-2,0,-2,0,-2,0.2,1,0,-8,-6
KR_8193665821,100,v1_15min_16_9_only,False,420,16.9.769.5709,2149,2026-06-07T21:17:16+00:00,1874,0,0,0,0,75,0.4,1,0,25,2
KR_8193665821,200,v1_15min_16_9_only,True,420,16.9.769.5709,2149,2026-06-07T21:17:16+00:00,-1874,0,0,0,0,-75,-0.4,-1,0,-25,-2
KR_8193621157,100,v1_15min_16_9_only,False,420,16.9.769.5709,1351,2026-06-07T21:17:16+00:00,2199,-1,1,-1,0,-6,0.2,1,1,-8,0
