champion_id,champion_name,position,feature_version,pick_count,win_count,surrender_loss_count,position_share,is_primary_position,created_at
29,Twitch,BOTTOM,v2_timeseries_7_15_16_9_only,28,18,6,0.595745,True,2026-06-07T21:17:37+00:00
29,Twitch,JUNGLE,v2_timeseries_7_15_16_9_only,5,2,0,0.106383,False,2026-06-07T21:17:37+00:00
29,Twitch,MIDDLE,v2_timeseries_7_15_16_9_only,3,2,0,0.06383,False,2026-06-07T21:17:37+00:00
29,Twitch,UTILITY,v2_timeseries_7_15_16_9_only,11,9,1,0.234043,False,2026-06-07T21:17:37+00:00
77,Udyr,JUNGLE,v2_timeseries_7_15_16_9_only,13,7,2,0.448276,False,2026-06-07T21:17:37+00:00
77,Udyr,MIDDLE,v2_timeseries_7_15_16_9_only,1,0,0,0.034483,False,2026-06-07T21:17:37+00:00
77,Udyr,TOP,v2_timeseries_7_15_16_9_only,15,8,1,0.517241,True,2026-06-07T21:17:37+00:00
6,Urgot,JUNGLE,v2_timeseries_7_15_16_9_only,2,2,0,0.068966,False,2026-06-07T21:17:37+00:00
6,Urgot,TOP,v2_timeseries_7_15_16_9_only,27,13,5,0.931034,True,2026-06-07T21:17:37+00:00
110,Varus,BOTTOM,v2_timeseries_7_15_16_9_only,126,55,24,0.602871,True,2026-06-07T21:17:37+00:00
110,Varus,MIDDLE,v2_timeseries_7_15_16_9_only,13,6,1,0.062201,False,2026-06-07T21:17:37+00:00
110,Varus,TOP,v2_timeseries_7_15_16_9_only,66,25,12,0.315789,False,2026-06-07T21:17:37+00:00
110,Varus,UTILITY,v2_timeseries_7_15_16_9_only,4,1,1,0.019139,False,2026-06-07T21:17:37+00:00
67,Vayne,BOTTOM,v2_timeseries_7_15_16_9_only,45,19,8,0.255682,False,2026-06-07T21:17:37+00:00
67,Vayne,JUNGLE,v2_timeseries_7_15_16_9_only,1,1,0,0.005682,False,2026-06-07T21:17:37+00:00
67,Vayne,MIDDLE,v2_timeseries_7_15_16_9_only,4,1,1,0.022727,False,2026-06-07T21:17:37+00:00
67,Vayne,TOP,v2_timeseries_7_15_16_9_only,126,61,29,0.715909,True,2026-06-07T21:17:37+00:00
45,Veigar,BOTTOM,v2_timeseries_7_15_16_9_only,2,1,0,0.033333,False,2026-06-07T21:17:37+00:00
45,Veigar,MIDDLE,v2_timeseries_7_15_16_9_only,41,21,12,0.683333,True,2026-06-07T21:17:37+00:00
45,Veigar,TOP,v2_timeseries_7_15_16_9_only,5,2,2,0.083333,False,2026-06-07T21:17:37+00:00
45,Veigar,UTILITY,v2_timeseries_7_15_16_9_only,12,5,4,0.2,False,2026-06-07T21:17:37+00:00
161,Velkoz,BOTTOM,v2_timeseries_7_15_16_9_only,3,3,0,0.043478,False,2026-06-07T21:17:37+00:00
161,Velkoz,MIDDLE,v2_timeseries_7_15_16_9_only,15,8,0,0.217391,False,2026-06-07T21:17:37+00:00
161,Velkoz,TOP,v2_timeseries_7_15_16_9_only,4,2,0,0.057971,False,2026-06-07T21:17:37+00:00
161,Velkoz,UTILITY,v2_timeseries_7_15_16_9_only,47,20,13,0.681159,True,2026-06-07T21:17:37+00:00
711,Vex,BOTTOM,v2_timeseries_7_15_16_9_only,1,1,0,0.014286,False,2026-06-07T21:17:37+00:00
711,Vex,MIDDLE,v2_timeseries_7_15_16_9_only,65,31,10,0.928571,True,2026-06-07T21:17:37+00:00
711,Vex,TOP,v2_timeseries_7_15_16_9_only,2,1,1,0.028571,False,2026-06-07T21:17:37+00:00
711,Vex,UTILITY,v2_timeseries_7_15_16_9_only,2,0,0,0.028571,False,2026-06-07T21:17:37+00:00
254,Vi,BOTTOM,v2_timeseries_7_15_16_9_only,1,0,0,0.004762,False,2026-06-07T21:17:37+00:00
254,Vi,JUNGLE,v2_timeseries_7_15_16_9_only,201,98,37,0.957143,True,2026-06-07T21:17:37+00:00
254,Vi,MIDDLE,v2_timeseries_7_15_16_9_only,1,1,0,0.004762,False,2026-06-07T21:17:37+00:00
254,Vi,TOP,v2_timeseries_7_15_16_9_only,4,2,0,0.019048,False,2026-06-07T21:17:37+00:00
254,Vi,UTILITY,v2_timeseries_7_15_16_9_only,3,3,0,0.014286,False,2026-06-07T21:17:37+00:00
